NAICS Sector Code,NAICS Codes,Sector,Subsector,NAICS Industry Description,Size Standards (millions of dollars),Size standards (number of employees)
11.0,113310,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 113 – Forestry and Logging,Logging,,500.0
11.0,114111,"Sector 11 – Agriculture, Forestry, Fishing and Hunting","Subsector 114 – Fishing, Hunting and Trapping",Finfish Fishing,22,
11.0,114112,"Sector 11 – Agriculture, Forestry, Fishing and Hunting","Subsector 114 – Fishing, Hunting and Trapping",Shellfish Fishing,6,
11.0,114119,"Sector 11 – Agriculture, Forestry, Fishing and Hunting","Subsector 114 – Fishing, Hunting and Trapping",Other Marine Fishing,8,
11.0,114210,"Sector 11 – Agriculture, Forestry, Fishing and Hunting","Subsector 114 – Fishing, Hunting and Trapping",Hunting and Trapping,6,
11.0,115111,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 115 – Support Activities for Agriculture and Forestry,Cotton Ginning,12,
11.0,115112,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 115 – Support Activities for Agriculture and Forestry,"Soil Preparation, Planting, and Cultivating",8,
11.0,115113,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 115 – Support Activities for Agriculture and Forestry,"Crop Harvesting, Primarily by Machine",8,
11.0,115114,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 115 – Support Activities for Agriculture and Forestry,Postharvest Crop Activities (except Cotton Ginning),30,
11.0,115115,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 115 – Support Activities for Agriculture and Forestry,Farm Labor Contractors and Crew Leaders,16.5,
11.0,115116,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 115 – Support Activities for Agriculture and Forestry,Farm Management Services,8,
11.0,115210,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 115 – Support Activities for Agriculture and Forestry,Support Activities for Animal Production,8,
11.0,115310,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 115 – Support Activities for Agriculture and Forestry,Support Activities for Forestry  ,8,
11.0,115310_a_Except   ,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 115 – Support Activities for Agriculture and Forestry,Forest Fire Suppression17,20.5,
11.0,115310_b_Except   ,"Sector 11 – Agriculture, Forestry, Fishing and Hunting",Subsector 115 – Support Activities for Agriculture and Forestry,Fuels Management Services17,20.5,
21.0,211120,"Sector 21 – Mining, Quarrying, and Oil and Gas Extraction",Subsector 211 – Oil and Gas Extraction,Crude Petroleum Extraction,,1250.0
21.0,211130,"Sector 21 – Mining, Quarrying, and Oil and Gas Extraction",Subsector 211 – Oil and Gas Extraction,Natural Gas Extraction,,1250.0
21.0,212111,"Sector 21 – Mining, Quarrying, and Oil and Gas Extraction",Subsector 212 – Mining (except Oil and Gas),Bituminous Coal and Lignite Surface Mining,,1250.0
21.0,212112,"Sector 21 – Mining, Quarrying, and Oil and Gas Extraction",Subsector 212 – Mining (except Oil and Gas),Bituminous Coal Underground Mining,,1500.0
21.0,212113,"Sector 21 – Mining, Quarrying, and Oil and Gas Extraction",Subsector 212 – Mining (except Oil and Gas),Anthracite Mining,,250.0
21.0,212210,"Sector 21 – Mining, Quarrying, and Oil and Gas Extraction",Subsector 212 – Mining (except Oil and Gas),Iron Ore Mining,,750.0
21.0,212221,"Sector 21 – Mining, Quarrying, and Oil and Gas Extraction",Subsector 212 – Mining (except Oil and Gas),Gold Ore Mining,,1500.0
21.0,212222,"Sector 21 – Mining, Quarrying, and Oil and Gas Extraction",Subsector 212 – Mining (except Oil and Gas),Silver Ore Mining,,250.0
21.0,212230,"Sector 21 – Mining, Quarrying, and Oil and Gas Extraction",Subsector 212 – Mining (except Oil and Gas),"Copper, Nickel, Lead, and Zinc Mining",,750.0
21.0,212291,"Sector 21 – Mining, Quarrying, and Oil and Gas Extraction",Subsector 212 – Mining (except Oil and Gas),Uranium‑Radium‑Vanadium Ore Mining,,250.0
21.0,212299,"Sector 21 – Mining, Quarrying, and Oil and Gas Extraction",Subsector 212 – Mining (except Oil and Gas),All Other Metal Ore Mining,,750.0
21.0,212311,"Sector 21 – Mining, Quarrying, and Oil and Gas Extraction",Subsector 212 – Mining (except Oil and Gas),Dimension Stone Mining and Quarrying,,500.0
21.0,212312,"Sector 21 – Mining, Quarrying, and Oil and Gas Extraction",Subsector 212 – Mining (except Oil and Gas),Crushed and Broken Limestone Mining and Quarrying,,750.0
21.0,212313,"Sector 21 – Mining, Quarrying, and Oil and Gas Extraction",Subsector 212 – Mining (except Oil and Gas),Crushed and Broken Granite Mining and Quarrying,,750.0
21.0,212319,"Sector 21 – Mining, Quarrying, and Oil and Gas Extraction",Subsector 212 – Mining (except Oil and Gas),Other Crushed and Broken Stone Mining and Quarrying,,500.0
21.0,212321,"Sector 21 – Mining, Quarrying, and Oil and Gas Extraction",Subsector 212 – Mining (except Oil and Gas),Construction Sand and Gravel Mining,,500.0
21.0,212322,"Sector 21 – Mining, Quarrying, and Oil and Gas Extraction",Subsector 212 – Mining (except Oil and Gas),Industrial Sand Mining,,500.0
21.0,212324,"Sector 21 – Mining, Quarrying, and Oil and Gas Extraction",Subsector 212 – Mining (except Oil and Gas),Kaolin and Ball Clay Mining,,750.0
21.0,212325,"Sector 21 – Mining, Quarrying, and Oil and Gas Extraction",Subsector 212 – Mining (except Oil and Gas),Clay and Ceramic and Refractory Minerals Mining  ,,500.0
21.0,212391,"Sector 21 – Mining, Quarrying, and Oil and Gas Extraction",Subsector 212 – Mining (except Oil and Gas),"Potash, Soda, and Borate Mineral Mining",,750.0
21.0,212392,"Sector 21 – Mining, Quarrying, and Oil and Gas Extraction",Subsector 212 – Mining (except Oil and Gas),Phosphate Rock Mining,,1000.0
21.0,212393,"Sector 21 – Mining, Quarrying, and Oil and Gas Extraction",Subsector 212 – Mining (except Oil and Gas),Other Chemical and Fertilizer Mineral Mining,,500.0
21.0,212399,"Sector 21 – Mining, Quarrying, and Oil and Gas Extraction",Subsector 212 – Mining (except Oil and Gas),All Other Nonmetallic Mineral Mining,,500.0
21.0,213111,"Sector 21 – Mining, Quarrying, and Oil and Gas Extraction",Subsector 213 – Support Activities for Mining,Drilling Oil and Gas Wells,,1000.0
21.0,213112,"Sector 21 – Mining, Quarrying, and Oil and Gas Extraction",Subsector 213 – Support Activities for Mining,Support Activities for Oil and Gas Operations,41.5,
21.0,213113,"Sector 21 – Mining, Quarrying, and Oil and Gas Extraction",Subsector 213 – Support Activities for Mining,Support Activities for Coal Mining,22,
21.0,213114,"Sector 21 – Mining, Quarrying, and Oil and Gas Extraction",Subsector 213 – Support Activities for Mining,Support Activities for Metal Mining,22,
21.0,213115,"Sector 21 – Mining, Quarrying, and Oil and Gas Extraction",Subsector 213 – Support Activities for Mining,Support Activities for Nonmetallic Minerals (except Fuels),8,
22.0,221111,Sector 22 – Utilities,Subsector 221 – Utilities,Hydroelectric Power Generation,,500.0
22.0,221112,Sector 22 – Utilities,Subsector 221 – Utilities,Fossil Fuel Electric Power Generation,,750.0
22.0,221113,Sector 22 – Utilities,Subsector 221 – Utilities,Nuclear Electric Power Generation,,750.0
22.0,221114,Sector 22 – Utilities,Subsector 221 – Utilities,Solar Electric Power Generation,,250.0
22.0,221115,Sector 22 – Utilities,Subsector 221 – Utilities,Wind Electric Power Generation,,250.0
22.0,221116,Sector 22 – Utilities,Subsector 221 – Utilities,Geothermal Electric Power Generation,,250.0
22.0,221117,Sector 22 – Utilities,Subsector 221 – Utilities,Biomass Electric Power Generation,,250.0
22.0,221118,Sector 22 – Utilities,Subsector 221 – Utilities,Other Electric Power Generation,,250.0
22.0,221121,Sector 22 – Utilities,Subsector 221 – Utilities,Electric Bulk Power Transmission and Control,,500.0
22.0,221122,Sector 22 – Utilities,Subsector 221 – Utilities,Electric Power Distribution,,1000.0
22.0,221210,Sector 22 – Utilities,Subsector 221 – Utilities,Natural Gas Distribution,,1000.0
22.0,221310,Sector 22 – Utilities,Subsector 221 – Utilities,Water Supply and Irrigation Systems,30,
22.0,221320,Sector 22 – Utilities,Subsector 221 – Utilities,Sewage Treatment Facilities,22,
22.0,221330,Sector 22 – Utilities,Subsector 221 – Utilities,Steam and Air‑Conditioning Supply,16.5,
23.0,236115,Sector 23 – Construction,Subsector  236 – Construction of Buildings,New Single-family Housing Construction (Except For-Sale Builders),39.5,
23.0,236116,Sector 23 – Construction,Subsector  236 – Construction of Buildings,New Multifamily Housing Construction (except For-Sale Builders),39.5,
23.0,236117,Sector 23 – Construction,Subsector  236 – Construction of Buildings,New Housing For-Sale Builders,39.5,
23.0,236118,Sector 23 – Construction,Subsector  236 – Construction of Buildings,Residential Remodelers,39.5,
23.0,236210,Sector 23 – Construction,Subsector  236 – Construction of Buildings,Industrial Building Construction,39.5,
23.0,236220,Sector 23 – Construction,Subsector  236 – Construction of Buildings,Commercial and Institutional Building Construction,39.5,
23.0,237110,Sector 23 – Construction,Subsector 237 – Heavy and Civil Engineering Construction,Water and Sewer Line and Related Structures Construction,39.5,
23.0,237120,Sector 23 – Construction,Subsector 237 – Heavy and Civil Engineering Construction,Oil and Gas Pipeline and Related Structures Construction,39.5,
23.0,237130,Sector 23 – Construction,Subsector 237 – Heavy and Civil Engineering Construction,Power and Communication Line and Related Structures Construction,39.5,
23.0,237210,Sector 23 – Construction,Subsector 237 – Heavy and Civil Engineering Construction,Land Subdivision,30,
23.0,237310,Sector 23 – Construction,Subsector 237 – Heavy and Civil Engineering Construction,"Highway, Street, and Bridge Construction",39.5,
23.0,237990,Sector 23 – Construction,Subsector 237 – Heavy and Civil Engineering Construction,Other Heavy and Civil Engineering Construction,39.5,
23.0,237990_Except   ,Sector 23 – Construction,Subsector 237 – Heavy and Civil Engineering Construction,Dredging and Surface Cleanup Activities2,30,
23.0,238110,Sector 23 – Construction,Subsector 238 – Specialty Trade Contractors,Poured Concrete Foundation and Structure Contractors,16.5,
23.0,238120,Sector 23 – Construction,Subsector 238 – Specialty Trade Contractors,Structural Steel and Precast Concrete Contractors,16.5,
23.0,238130,Sector 23 – Construction,Subsector 238 – Specialty Trade Contractors,Framing Contractors,16.5,
23.0,238140,Sector 23 – Construction,Subsector 238 – Specialty Trade Contractors,Masonry Contractors,16.5,
23.0,238150,Sector 23 – Construction,Subsector 238 – Specialty Trade Contractors,Glass and Glazing Contractors,16.5,
23.0,238160,Sector 23 – Construction,Subsector 238 – Specialty Trade Contractors,Roofing Contractors,16.5,
23.0,238170,Sector 23 – Construction,Subsector 238 – Specialty Trade Contractors,Siding Contractors,16.5,
23.0,238190,Sector 23 – Construction,Subsector 238 – Specialty Trade Contractors,"Other Foundation, Structure, and Building Exterior Contractors",16.5,
23.0,238210,Sector 23 – Construction,Subsector 238 – Specialty Trade Contractors,Electrical Contractors and Other Wiring Installation Contractors,16.5,
23.0,238220,Sector 23 – Construction,Subsector 238 – Specialty Trade Contractors,"Plumbing, Heating, and Air‑Conditioning Contractors   ",16.5,
23.0,238290,Sector 23 – Construction,Subsector 238 – Specialty Trade Contractors,Other Building Equipment Contractors,16.5,
23.0,238310,Sector 23 – Construction,Subsector 238 – Specialty Trade Contractors,Drywall and Insulation Contractors,16.5,
23.0,238320,Sector 23 – Construction,Subsector 238 – Specialty Trade Contractors,Painting and Wall Covering Contractors,16.5,
23.0,238330,Sector 23 – Construction,Subsector 238 – Specialty Trade Contractors,Flooring Contractors,16.5,
23.0,238340,Sector 23 – Construction,Subsector 238 – Specialty Trade Contractors,Tile and Terrazzo Contractors,16.5,
23.0,238350,Sector 23 – Construction,Subsector 238 – Specialty Trade Contractors,Finish Carpentry Contractors,16.5,
23.0,238390,Sector 23 – Construction,Subsector 238 – Specialty Trade Contractors,Other Building Finishing Contractors,16.5,
23.0,238910,Sector 23 – Construction,Subsector 238 – Specialty Trade Contractors,Site Preparation Contractors,16.5,
23.0,238990,Sector 23 – Construction,Subsector 238 – Specialty Trade Contractors,All Other Specialty Trade Contractors,16.5,
23.0,238990_Except   ,Sector 23 – Construction,Subsector 238 – Specialty Trade Contractors,Building and Property Specialty Trade Services 13,16.5,
31.0,311111,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,Dog and Cat Food Manufacturing,,1000.0
31.0,311119,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,Other Animal Food Manufacturing,,500.0
31.0,311211,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,Flour Milling,,1000.0
31.0,311212,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,Rice Milling,,500.0
31.0,311213,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,Malt Manufacturing,,500.0
31.0,311221,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,Wet Corn Milling,,1250.0
31.0,311224,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,Soybean and Other Oilseed Processing,,1000.0
31.0,311225,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,Fats and Oils Refining and Blending,,1000.0
31.0,311230,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,Breakfast Cereal Manufacturing,,1000.0
31.0,311313,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,Beet Sugar Manufacturing,,750.0
31.0,311314,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,Cane Sugar Manufacturing,,1000.0
31.0,311340,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,Nonchocolate Confectionery Manufacturing,,1000.0
31.0,311351,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,Chocolate and Confectionery Manufacturing from Cacao Beans,,1250.0
31.0,311352,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,Confectionery Manufacturing from Purchased Chocolate,,1000.0
31.0,311411,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,"Frozen Fruit, Juice and Vegetable Manufacturing",,1000.0
31.0,311412,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,Frozen Specialty Food Manufacturing,,1250.0
31.0,311421,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,Fruit and Vegetable Canning3,,1000.0
31.0,311422,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,Specialty Canning,,1250.0
31.0,311423,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,Dried and Dehydrated Food Manufacturing,,750.0
31.0,311511,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,Fluid Milk Manufacturing,,1000.0
31.0,311512,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,Creamery Butter Manufacturing,,750.0
31.0,311513,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,Cheese Manufacturing,,1250.0
31.0,311514,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",,750.0
31.0,311520,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,Ice Cream and Frozen Dessert Manufacturing,,1000.0
31.0,311611,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,Animal (except Poultry) Slaughtering,,1000.0
31.0,311612,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,Meat Processed from Carcasses,,1000.0
31.0,311613,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,Rendering and Meat Byproduct Processing,,750.0
31.0,311615,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,Poultry Processing,,1250.0
31.0,311710,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,Seafood Product Preparation and Packaging,,750.0
31.0,311811,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,Retail Bakeries,,500.0
31.0,311812,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,Commercial Bakeries,,1000.0
31.0,311813,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,"Frozen Cakes, Pies, and Other Pastries Manufacturing",,750.0
31.0,311821,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,Cookie and Cracker Manufacturing,,1250.0
31.0,311824,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",,750.0
31.0,311830,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,Tortilla Manufacturing,,1250.0
31.0,311911,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,Roasted Nuts and Peanut Butter Manufacturing,,750.0
31.0,311919,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,Other Snack Food Manufacturing,,1250.0
31.0,311920,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,Coffee and Tea Manufacturing,,750.0
31.0,311930,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,Flavoring Syrup and Concentrate Manufacturing,,1000.0
31.0,311941,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,"Mayonnaise, Dressing and Other Prepared Sauce Manufacturing",,750.0
31.0,311942,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,Spice and Extract Manufacturing,,500.0
31.0,311991,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,Perishable Prepared Food Manufacturing,,500.0
31.0,311999,Sector 31 – 33 – Manufacturing,Subsector 311 – Food Manufacturing,All Other Miscellaneous Food Manufacturing,,500.0
31.0,312111,Sector 31 – 33 – Manufacturing,Subsector 312 – Beverage and Tobacco Product Manufacturing,Soft Drink Manufacturing  ,,1250.0
31.0,312112,Sector 31 – 33 – Manufacturing,Subsector 312 – Beverage and Tobacco Product Manufacturing,Bottled Water Manufacturing,,1000.0
31.0,312113,Sector 31 – 33 – Manufacturing,Subsector 312 – Beverage and Tobacco Product Manufacturing,Ice Manufacturing,,750.0
31.0,312120,Sector 31 – 33 – Manufacturing,Subsector 312 – Beverage and Tobacco Product Manufacturing,Breweries,,1250.0
31.0,312130,Sector 31 – 33 – Manufacturing,Subsector 312 – Beverage and Tobacco Product Manufacturing,Wineries,,1000.0
31.0,312140,Sector 31 – 33 – Manufacturing,Subsector 312 – Beverage and Tobacco Product Manufacturing,Distilleries,,1000.0
31.0,312230,Sector 31 – 33 – Manufacturing,Subsector 312 – Beverage and Tobacco Product Manufacturing,Tobacco Manufacturing,,1500.0
31.0,313110,Sector 31 – 33 – Manufacturing,Subsector 313 – Textile Mills,"Fiber, Yarn, and Thread Mills",,1250.0
31.0,313210,Sector 31 – 33 – Manufacturing,Subsector 313 – Textile Mills,Broadwoven Fabric Mills,,1000.0
31.0,313220,Sector 31 – 33 – Manufacturing,Subsector 313 – Textile Mills,Narrow Fabric Mills and Schiffli Machine Embroidery,,500.0
31.0,313230,Sector 31 – 33 – Manufacturing,Subsector 313 – Textile Mills,Nonwoven Fabric Mills,,750.0
31.0,313240,Sector 31 – 33 – Manufacturing,Subsector 313 – Textile Mills,Knit Fabric Mills,,500.0
31.0,313310,Sector 31 – 33 – Manufacturing,Subsector 313 – Textile Mills,Textile and Fabric Finishing Mills,,1000.0
31.0,313320,Sector 31 – 33 – Manufacturing,Subsector 313 – Textile Mills,Fabric Coating Mills,,1000.0
31.0,314110,Sector 31 – 33 – Manufacturing,Subsector 314 – Textile Product Mills,Carpet and Rug Mills,,1500.0
31.0,314120,Sector 31 – 33 – Manufacturing,Subsector 314 – Textile Product Mills,Curtain and Linen Mills,,750.0
31.0,314910,Sector 31 – 33 – Manufacturing,Subsector 314 – Textile Product Mills,Textile Bag and Canvas Mills,,500.0
31.0,314994,Sector 31 – 33 – Manufacturing,Subsector 314 – Textile Product Mills,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills",,1000.0
31.0,314999,Sector 31 – 33 – Manufacturing,Subsector 314 – Textile Product Mills,All Other Miscellaneous Textile Product Mills,,500.0
31.0,315110,Sector 31 – 33 – Manufacturing,Subsector 315 – Apparel Manufacturing,Hosiery and Sock Mills,,750.0
31.0,315190,Sector 31 – 33 – Manufacturing,Subsector 315 – Apparel Manufacturing,Other Apparel Knitting Mills,,750.0
31.0,315210,Sector 31 – 33 – Manufacturing,Subsector 315 – Apparel Manufacturing,Cut and Sew Apparel Contractors,,750.0
31.0,315220,Sector 31 – 33 – Manufacturing,Subsector 315 – Apparel Manufacturing,Men's and Boys' Cut and Sew Apparel Manufacturing,,750.0
31.0,315240,Sector 31 – 33 – Manufacturing,Subsector 315 – Apparel Manufacturing,"Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing",,750.0
31.0,315280,Sector 31 – 33 – Manufacturing,Subsector 315 – Apparel Manufacturing,Other Cut and Sew Apparel Manufacturing,,750.0
